,Category,DayGrid,M+,M-,M-D,MD,MH,MN,PriceGrid,QtyGrid,QtyPriceFunction,SubsFactor,TimeFunction,Unnamed: 0
15,97,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
653,97,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1291,97,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
1929,97,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2567,97,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3205,97,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3843,97,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4481,97,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5119,97,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5757,97,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6395,97,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7033,97,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7671,97,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8309,97,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8947,97,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9585,97,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
16,101,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
654,101,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1292,101,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
1930,101,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2568,101,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3206,101,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3844,101,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4482,101,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5120,101,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5758,101,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6396,101,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7034,101,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7672,101,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8310,101,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8948,101,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9586,101,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
17,123,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
655,123,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1293,123,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
1931,123,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2569,123,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3207,123,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3845,123,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4483,123,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5121,123,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5759,123,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
