,Category,M+,M-,M-D,MD,MH,MN,TimeFunction,QtyGrid,PriceGrid,QtyPriceFunction,DayGrid,SubsFactor
21,8,14.8170705886,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,2
22,8,12.7805265065,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,2
23,8,13.3466077303,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,2
0,2050,0,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,2
1,2050,0,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,2
2,2050,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,2
3,2050,0,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,2
4,2050,0,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,2
5,2050,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,2
6,2050,0,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,2
7,2050,0,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,2
8,2050,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,2
9,2050,0,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,2
10,2050,0,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,2
11,2050,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,2
12,2050,0,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,2
13,2050,0,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,2
14,2050,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,2
15,2050,0,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,2
16,2050,0,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,2
17,2050,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,2
18,2050,0,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,2
19,2050,0,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,2
20,2050,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,2
21,2050,0,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,2
22,2050,0,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,2
23,2050,0,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,2
0,14,29.4272249966,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,2
1,14,0,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,2
2,14,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,2
3,14,29.4272249966,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,2
4,14,0,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,2
5,14,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,2
6,14,29.4272249966,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,2
7,14,0,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,2
8,14,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,2
9,14,29.4272249966,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,2
10,14,0,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,2
11,14,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,2
12,14,29.4272249966,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,2
13,14,0,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,2
14,14,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,2
15,14,29.4272249966,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,2
16,14,0,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,2
17,14,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,2
18,14,29.4272249966,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,2
19,14,0,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,2
20,14,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,2
21,14,29.4272249966,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,2
22,14,0,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,2
23,14,0,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,2
0,15,15.8745566303,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,2
1,15,6.1326883818,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,2
2,15,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,2
3,15,15.8745566303,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,2
4,15,6.1326883818,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,2
5,15,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,2
6,15,15.8745566303,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,2
7,15,6.1326883818,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,2
8,15,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,2
9,15,15.8745566303,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,2
10,15,6.1326883818,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,2
11,15,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,2
12,15,15.8745566303,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,2
13,15,6.1326883818,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,2
14,15,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,2
15,15,15.8745566303,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,2
16,15,6.1326883818,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,2
17,15,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,2
18,15,15.8745566303,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,2
19,15,6.1326883818,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,2
20,15,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,2
21,15,15.8745566303,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,2
22,15,6.1326883818,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,2
23,15,0,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,2
0,16,0,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,2
1,16,0,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,2
2,16,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,2
3,16,0,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,2
4,16,0,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,2
5,16,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,2
6,16,0,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,2
7,16,0,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,2
8,16,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,2
9,16,0,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,2
10,16,0,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,2
11,16,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,2
12,16,0,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,2
13,16,0,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,2
14,16,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,2
15,16,0,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,2
16,16,0,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,2
17,16,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,2
18,16,0,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,2
19,16,0,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,2
20,16,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,2
21,16,0,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,2
22,16,0,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,2
