,Category,M+,M-,M-D,MD,MH,MN,TimeFunction,QtyGrid,PriceGrid,QtyPriceFunction,DayGrid,SubsFactor
14,5.0,0.0,0.0,0.0,0.2,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
15,5.0,10.0,0.0,0.0,0.5,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
16,5.0,0.0,0.0,0.0,0.5,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
17,5.0,0.0,0.0,0.0,0.5,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
18,5.0,10.0,0.0,0.0,0.8,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
19,5.0,0.0,0.0,0.0,0.8,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
20,5.0,0.0,0.0,0.0,0.8,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
21,5.0,10.0,0.0,0.0,1.5,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
22,5.0,0.0,0.0,0.0,1.5,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
23,5.0,0.0,0.0,0.0,1.5,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
0,8.0,4.73161049888,0.0,0.0,0.2,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
1,8.0,4.11536663195,0.0,0.0,0.2,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
2,8.0,4.02714197558,0.0,0.0,0.2,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
3,8.0,3.12686979015,0.0,0.0,0.5,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
4,8.0,2.91246956044,0.0,0.0,0.5,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
5,8.0,2.86500193571,0.0,0.0,0.5,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
6,8.0,3.12686979015,0.0,0.0,0.8,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
7,8.0,2.91246956044,0.0,0.0,0.8,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
8,8.0,2.86500193571,0.0,0.0,0.8,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
9,8.0,3.12686979015,0.0,0.0,1.5,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
10,8.0,2.91246956044,0.0,0.0,1.5,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
11,8.0,2.86500193571,0.0,0.0,1.5,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
12,8.0,4.73161049888,0.0,0.0,0.2,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
13,8.0,4.11536663195,0.0,0.0,0.2,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
14,8.0,4.02714197558,0.0,0.0,0.2,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
15,8.0,3.12686979015,0.0,0.0,0.5,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
16,8.0,2.91246956044,0.0,0.0,0.5,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
17,8.0,2.86500193571,0.0,0.0,0.5,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
18,8.0,3.12686979015,0.0,0.0,0.8,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
19,8.0,2.91246956044,0.0,0.0,0.8,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
20,8.0,2.86500193571,0.0,0.0,0.8,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
21,8.0,3.12686979015,0.0,0.0,1.5,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
22,8.0,2.91246956044,0.0,0.0,1.5,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
23,8.0,2.86500193571,0.0,0.0,1.5,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
0,2050.0,0.0,0.0,0.0,0.2,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
1,2050.0,0.0,0.0,0.0,0.2,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
2,2050.0,0.0,0.0,0.0,0.2,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
3,2050.0,0.0,0.0,0.0,0.5,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
4,2050.0,0.0,0.0,0.0,0.5,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
5,2050.0,0.0,0.0,0.0,0.5,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
6,2050.0,0.0,0.0,0.0,0.8,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
7,2050.0,0.0,0.0,0.0,0.8,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
8,2050.0,0.0,0.0,0.0,0.8,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
9,2050.0,0.0,0.0,0.0,1.5,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
10,2050.0,0.0,0.0,0.0,1.5,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
11,2050.0,0.0,0.0,0.0,1.5,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
12,2050.0,0.0,0.0,0.0,0.2,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
13,2050.0,0.0,0.0,0.0,0.2,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
